1,1,336,325,829,956
2,1,329,333,829,966
3,1,325,330,824,960
4,1,304,350,800,992
5,1,320,348,821,975
6,1,282,363,800,1016
7,1,326,345,826,958
8,1,336,338,838,963
9,1,343,334,845,969
10,1,354,319,851,972
11,1,339,259,836,924
12,0,0,0,0,0
13,1,287,307,793,980
14,1,283,312,793,976
15,1,348,317,845,975
16,1,351,314,843,978
17,1,361,339,841,959
18,1,352,351,840,977
19,1,363,354,853,954
20,1,355,349,851,969
21,1,354,352,848,967
22,1,341,379,835,954
23,1,349,354,843,969
24,1,340,381,837,951
25,1,360,351,851,963
26,1,360,351,852,963
27,1,356,349,851,964
28,1,359,351,855,965
29,1,350,347,855,968
30,1,353,348,859,964
31,1,350,345,856,964
32,1,343,347,853,971
33,1,336,354,846,975
34,1,330,360,842,981
35,1,322,361,833,979
36,1,330,364,829,981
37,1,322,368,829,990
38,1,308,358,825,982
39,1,309,352,825,989
40,1,342,357,825,979
41,1,319,405,831,974
42,1,339,370,834,975
43,1,328,351,843,979
44,1,331,348,846,976
45,1,344,353,841,974
46,1,332,358,841,973
47,1,312,374,834,989
48,1,323,367,832,986
49,1,329,349,832,979
50,1,329,346,830,978
51,1,320,347,830,981
52,1,313,346,827,980
53,1,310,342,822,977
54,1,322,342,827,967
55,1,328,347,835,960
56,1,336,348,843,963
57,1,345,349,843,955
58,1,349,346,852,965
59,1,356,345,851,959
60,1,353,341,850,959
61,1,350,343,850,960
62,1,356,337,846,956
63,1,357,339,849,958
64,1,356,344,842,956
65,1,348,340,839,952
66,1,345,335,834,949
67,1,327,326,823,963
68,1,325,324,818,961
69,1,316,324,821,969
70,1,317,326,822,969
71,1,321,330,828,972
72,1,330,333,833,971
73,1,332,333,834,974
74,1,335,322,830,964
75,1,344,317,832,953
76,1,346,318,835,956
77,1,346,324,845,959
78,1,359,327,847,961
79,1,360,327,844,961
80,1,356,334,843,968
81,1,341,325,845,967
82,1,338,332,840,972
83,1,326,308,815,949
84,1,306,315,792,946
85,1,327,272,811,914
86,1,308,312,783,943
87,1,306,286,792,930
88,1,303,287,785,930
89,1,325,268,814,909
90,1,363,279,836,919
91,1,404,282,883,910
92,1,409,295,892,929
93,1,416,323,895,949
94,1,405,317,888,943
95,1,402,290,887,925
96,1,400,283,889,918
97,1,401,288,888,930
98,1,394,280,878,923
99,1,362,289,841,923
100,1,364,286,842,924
101,1,341,267,838,907
102,1,333,260,837,898
103,1,324,254,840,884
104,1,330,259,831,885
105,1,325,257,830,881
106,1,327,262,834,891
107,1,332,261,837,889
108,1,325,264,835,890
109,1,321,258,836,887
110,1,322,257,835,890
111,1,317,259,831,892
112,1,323,269,827,912
113,1,331,275,825,911
114,1,324,261,829,898
115,1,312,251,824,883
116,1,291,258,787,886
117,1,277,268,771,890
118,1,279,274,765,909
119,1,268,269,758,914
120,1,233,274,721,919
121,1,223,263,713,905
122,1,231,255,724,880
123,1,267,247,757,880
124,1,281,255,766,881
125,1,293,270,781,898
126,1,317,253,812,902
127,1,335,262,828,905
128,1,338,263,834,907
129,1,350,269,839,911
130,1,354,275,844,917
131,1,353,272,842,916
132,1,342,267,838,911
133,1,342,259,832,909
134,1,337,247,825,910
135,1,337,247,819,911
136,1,313,264,785,916
137,1,291,270,771,906
138,1,289,262,765,912
139,1,283,258,759,915
140,1,282,260,758,918
141,1,246,341,764,923
142,1,247,340,763,922
143,1,252,318,762,909
144,1,256,318,765,909
145,1,265,319,769,903
146,1,282,317,772,897
147,1,285,323,781,907
148,1,338,355,840,912
149,1,371,360,889,916
150,1,426,314,901,939
151,1,438,321,917,948
152,1,465,323,946,937
153,1,486,335,960,938
154,1,501,346,974,940
155,1,501,349,976,944
156,1,491,348,970,944
